level,necessary_exp
1,50
2,150
3,200
4,200
5,200
6,200
7,250
8,250
9,250
10,350
11,350
12,350
13,350
14,350
15,350
16,350
17,350
18,350
19,350
20,350
21,350
22,350
23,350
24,350
25,450
26,450
27,450
28,450
29,450
30,450
31,450
32,450
33,450
34,450
35,450
36,450
37,450
38,450
39,450
40,600
41,600
42,600
43,600
44,600
45,600
46,600
47,600
48,600
49,600
50,600
51,600
52,600
53,600
54,600
55,600
56,600
57,600
58,600
59,600
60,600
61,600
62,600
63,600
64,600
65,600
66,600
67,600
68,600
69,600
70,800
71,800
72,800
73,800
74,800
75,800
76,800
77,800
78,800
79,800
80,800
81,800
82,800
83,800
84,800
85,800
86,800
87,800
88,800
89,800
90,800
91,800
92,800
93,800
94,800
95,800
96,800
97,800
98,800
99,800
100,800
101,800
102,800
103,800
104,800
105,900
106,1000
107,1100
108,1200
109,1300
110,1400
111,1500
112,1600
113,1700
114,1800
115,1900
116,2000
117,2100
118,2200
119,2300
120,2400
121,2500
122,2600
123,2700
124,2800
125,2900
126,3000
127,3100
128,3200
129,3300
130,3400
131,3500
132,3600
133,3700
134,3800
135,3900
136,4000
137,4100
138,4200
139,4300
140,4400
141,4500
142,4600
143,4700
144,4800
145,4900
146,5000
147,5100
148,5200
149,5300
150,-1
