degree_id,is_special,name,path,degree_achievement_id,category_id,is_premium,locale_jpn,locale_eng,locale_kor,locale_chs,locale_cht,locale_fre,locale_ita,locale_ger,locale_spa
101001,0,DEG_私だって戦えるんだから！,degree_101001,DAT_101001,4100,0,1,1,1,1,1,1,1,1,1
101002,0,DEG_妖精少女,degree_101002,DAT_101002,4100,0,1,1,1,1,1,1,1,1,1
101003,0,DEG_約束の弓 誓いの矢,degree_101003,DAT_101003,4100,0,1,1,1,1,1,1,1,1,1
302401,1,DEG_疾風の弓使い,degree_302401,,4300,0,1,1,1,1,1,1,1,1,1
101004,0,DEG_Elf Master,degree_101004,DAT_101004,4100,0,1,1,1,1,1,1,1,1,1
102001,0,DEG_ここで死んで頂きます,degree_102001,DAT_102001,4100,0,1,1,1,1,1,1,1,1,1
102002,0,DEG_メイドが本業,degree_102002,DAT_102002,4100,0,1,1,1,1,1,1,1,1,1
102003,0,DEG_Save the Queen ,degree_102003,DAT_102003,4100,0,1,1,1,1,1,1,1,1,1
302402,1,DEG_紅蓮の従者,degree_302402,,4300,0,1,1,1,1,1,1,1,1,1
102004,0,DEG_Royal Master,degree_102004,DAT_102004,4100,0,1,1,1,1,1,1,1,1,1
103001,0,DEG_手加減なしよ、本気で行くわ！,degree_103001,DAT_103001,4100,0,1,1,1,1,1,1,1,1,1
103002,0,DEG_天才錬金術師,degree_103002,DAT_103002,4100,0,1,1,1,1,1,1,1,1,1
103003,0,DEG_禁忌の探求者,degree_103003,DAT_103003,4100,0,1,1,1,1,1,1,1,1,1
302403,1,DEG_叡智の魔法使い,degree_302403,,4300,0,1,1,1,1,1,1,1,1,1
103004,0,DEG_Witch Master,degree_103004,DAT_103004,4100,0,1,1,1,1,1,1,1,1,1
104001,0,DEG_この俺が相手だ！,degree_104001,DAT_104001,4100,0,1,1,1,1,1,1,1,1,1
104002,0,DEG_歴代最強竜騎士,degree_104002,DAT_104002,4100,0,1,1,1,1,1,1,1,1,1
104003,0,DEG_咎負いし黒龍騎士,degree_104003,DAT_104003,4100,0,1,1,1,1,1,1,1,1,1
302404,1,DEG_漆黒の竜戦士,degree_302404,,4300,0,1,1,1,1,1,1,1,1,1
104004,0,DEG_Dragon Master,degree_104004,DAT_104004,4100,0,1,1,1,1,1,1,1,1,1
105001,0,DEG_ルナが遊んであげる,degree_105001,DAT_105001,4100,0,1,1,1,1,1,1,1,1,1
105002,0,DEG_ゴシック・ロリータ,degree_105002,DAT_105002,4100,0,1,1,1,1,1,1,1,1,1
105003,0,DEG_愛と狂気とネクロマンス,degree_105003,DAT_105003,4100,0,1,1,1,1,1,1,1,1,1
302405,1,DEG_幽冥の少女,degree_302405,,4300,0,1,1,1,1,1,1,1,1,1
105004,0,DEG_Necromancer Master,degree_105004,DAT_105004,4100,0,1,1,1,1,1,1,1,1,1
106001,0,DEG_楽しませてくれたまえ,degree_106001,DAT_106001,4100,0,1,1,1,1,1,1,1,1,1
106002,0,DEG_ダンディズム,degree_106002,DAT_106002,4100,0,1,1,1,1,1,1,1,1,1
106003,0,DEG_渇望するヴァンパイア,degree_106003,DAT_106003,4100,0,1,1,1,1,1,1,1,1,1
302406,1,DEG_闘争の吸血鬼,degree_302406,,4300,0,1,1,1,1,1,1,1,1,1
106004,0,DEG_Vampire Master,degree_106004,DAT_106004,4100,0,1,1,1,1,1,1,1,1,1
107001,0,DEG_私が貴方をお救いします,degree_107001,DAT_107001,4100,0,1,1,1,1,1,1,1,1,1
107002,0,DEG_瞳の中の災禍,degree_107002,DAT_107002,4100,0,1,1,1,1,1,1,1,1,1
107003,0,DEG_救済の導き手,degree_107003,DAT_107003,4100,0,1,1,1,1,1,1,1,1,1
302407,1,DEG_贖罪の巡礼者,degree_302407,,4300,0,1,1,1,1,1,1,1,1,1
107004,0,DEG_Bishop Master,degree_107004,DAT_107004,4100,0,1,1,1,1,1,1,1,1,1
108001,0,DEG_次元を超えてお前を討つ,degree_108001,DAT_108001,4100,0,1,1,1,1,1,1,1,1,1
108002,0,DEG_管理者の器,degree_108002,DAT_108002,4100,0,1,1,1,1,1,1,1,1,1
108003,0,DEG_次元超えし復讐者,degree_108003,DAT_108003,4100,0,1,1,1,1,1,1,1,1,1
302408,1,DEG_宿命の復讐者,degree_302408,,4300,0,1,1,1,1,1,1,1,1,1
108004,0,DEG_Nemesis Master,degree_108004,DAT_108004,4100,0,1,1,1,1,1,1,1,1,1
110001,0,DEG_シャドウバースの使徒,degree_110001,DAT_110001,4000,0,1,1,1,1,1,1,1,1,1
110005,0,DEG_安寧を捨てし者,degree_110005,DAT_110005,4000,0,1,1,1,1,1,1,1,1,1
