emblem_id,is_special,name,path,category_id,locale_jpn,locale_eng,locale_kor,locale_chs,locale_cht,locale_fre,locale_ita,locale_ger,locale_spa
100000000,0,EM_シャドウバース,em_100000000,4000,1,1,1,1,1,1,1,1,1
100000101,0,EM_アリサ,em_100000101,4000,1,1,1,1,1,1,1,1,1
100000103,0,EM_森の弓使い・アリサ,em_100000103,4400,1,1,1,1,1,1,1,1,1
100000104,0,EM_深緑の射手・アリサ,em_100000104,4400,1,1,1,1,1,1,1,1,1
100000106,0,EM_新リーダースキン_アリサ,em_100000106,4100,1,1,1,1,1,1,1,1,1
100000201,0,EM_エリカ,em_100000201,4000,1,1,1,1,1,1,1,1,1
100000203,0,EM_白刃の従者・エリカ,em_100000203,4400,1,1,1,1,1,1,1,1,1
100000206,0,EM_新リーダースキン_エリカ,em_100000206,4100,1,1,1,1,1,1,1,1,1
100000301,0,EM_イザベル,em_100000301,4000,1,1,1,1,1,1,1,1,1
100000303,0,EM_禁忌の魔術師・イザベル,em_100000303,4400,1,1,1,1,1,1,1,1,1
100000306,0,EM_新リーダースキン_イザベル,em_100000306,4100,1,1,1,1,1,1,1,1,1
100000401,0,EM_ローウェン,em_100000401,4000,1,1,1,1,1,1,1,1,1
100000403,0,EM_決意の龍槍・ローウェン,em_100000403,4400,1,1,1,1,1,1,1,1,1
100000405,0,EM_黒龍の戦士・ローウェン,em_100000405,4000,1,1,1,1,1,1,1,1,1
100000406,0,EM_新リーダースキン_ローウェン,em_100000406,4100,1,1,1,1,1,1,1,1,1
100000501,0,EM_ルナ,em_100000501,4000,1,1,1,1,1,1,1,1,1
100000503,0,EM_幼き死霊術師・ルナ,em_100000503,4400,1,1,1,1,1,1,1,1,1
100000506,0,EM_新リーダースキン_ルナ,em_100000506,4100,1,1,1,1,1,1,1,1,1
100000601,0,EM_ユリアス,em_100000601,4000,1,1,1,1,1,1,1,1,1
100000603,0,EM_最後の吸血鬼・ユリアス,em_100000603,4400,1,1,1,1,1,1,1,1,1
100000606,0,EM_新リーダースキン_ユリアス,em_100000606,4100,1,1,1,1,1,1,1,1,1
100000701,0,EM_イリス,em_100000701,4000,1,1,1,1,1,1,1,1,1
100000703,0,EM_救いの司祭・イリス,em_100000703,4400,1,1,1,1,1,1,1,1,1
100000706,0,EM_新リーダースキン_イリス,em_100000706,4100,1,1,1,1,1,1,1,1,1
100000801,0,EM_ユアン,em_100000801,4000,1,1,1,1,1,1,1,1,1
100000803,0,EM_次元を超えし者・ユアン,em_100000803,4400,1,1,1,1,1,1,1,1,1
100000806,0,EM_新リーダースキン_ユアン,em_100000806,4100,1,1,1,1,1,1,1,1,1
100000901,0,EM_ネクサス,em_100000901,4000,1,1,1,1,1,1,1,1,1
500023,0,EM_エレノア,em_500023,4000,1,1,1,1,1,1,1,1,1
500030,0,EM_メイシア,em_500030,4000,1,1,1,1,1,1,1,1,1
500031,0,EM_セタス,em_500031,4000,1,1,1,1,1,1,1,1,1
500033,0,EM_ニコラ,em_500033,4000,1,1,1,1,1,1,1,1,1
500034,0,EM_マーロン,em_500034,4000,1,1,1,1,1,1,1,1,1
500035,0,EM_リオード,em_500035,4000,1,1,1,1,1,1,1,1,1
100011020,0,EM_ファイター,em_100011020,4000,1,1,1,1,1,1,1,1,1
1002110100,0,EM_クイックブレーダー,em_1002110100,4500,1,1,1,1,1,1,1,1,1
1003210100,0,EM_フレイムデストロイヤー,em_1003210100,4500,1,1,1,1,1,1,1,1,1
1004140100,0,EM_竜の託宣,em_1004140100,4500,1,1,1,1,1,1,1,1,1
100514020,0,EM_深淵への誘い,em_100514020,4000,1,1,1,1,1,1,1,1,1
100611010,0,EM_ナイトメア,em_100611010,4000,1,1,1,1,1,1,1,1,1
1006110500,0,EM_ダークジェネラル,em_1006110500,4500,1,1,1,1,1,1,1,1,1
1007110200,0,EM_大修道女,em_1007110200,4500,1,1,1,1,1,1,1,1,1
1007210200,0,EM_鉄槌の僧侶,em_1007210200,4500,1,1,1,1,1,1,1,1,1
1008110100,0,EM_トイソルジャー,em_1008110100,4400,1,1,1,1,1,1,1,1,1
900311010,0,EM_スノーマン,em_900311010,4200,1,1,1,1,1,1,1,1,1
900311020,0,EM_クレイゴーレム,em_900311020,4000,1,1,1,1,1,1,1,1,1
101021010,0,EM_ベルエンジェル,em_101021010,4200,1,1,1,1,1,1,1,1,1
101031010,0,EM_ウルズ,em_101031010,4200,1,1,1,1,1,1,1,1,1
101031040,0,EM_アテナ,em_101031040,4000,1,1,1,1,1,1,1,1,1
101041020,0,EM_ルシフェル,em_101041020,4000,1,1,1,1,1,1,1,1,1
101111010,0,EM_ベビーエルフ・メイ,em_101111010,4000,1,1,1,1,1,1,1,1,1
101122020,0,EM_森の聖域,em_101122020,4000,1,1,1,1,1,1,1,1,1
1011310200,0,EM_リノセウス,em_1011310200,4500,1,1,1,1,1,1,1,1,1
101131050,0,EM_ロビンフッド,em_101131050,4000,1,1,1,1,1,1,1,1,1
1011320100,0,EM_ティターニアの妖精郷,em_1011320100,4500,1,1,1,1,1,1,1,1,1
1011340300,0,EM_根源への回帰,em_1011340300,4500,1,1,1,1,1,1,1,1,1
101141030,0,EM_ローズクイーン,em_101141030,4000,1,1,1,1,1,1,1,1,1
