class_chara_id,class_chara_name,description,path,clan,clan_name,is_usable,skin_id,class_color,hide_class_name,battle_skin_reverse,position_x,position_y,scale,is_high_rank,is_3D,is_no_evolve_shift,is_opponent_reverse,evolution_delay_frame,is_evolve_skin
1,CC_アリサ,アリサ,RoyallSaver,1,Common_0105,1,1,0,0,1,-22,6,0.97,0,0,0,0,0,0
2,CC_エリカ,エリカ,RoyallSaver,2,Common_0106,1,2,0,0,1,-2,0,1,0,0,0,0,0,0
3,CC_イザベル,イザベル,RoyallSaver,3,Common_0107,1,3,0,0,1,-12,-4,0.97,0,0,0,0,0,0
4,CC_ローウェン,ローウェン,RoyallSaver,4,Common_0108,1,4,0,0,1,-1,10,0.97,0,0,0,0,0,0
5,CC_ルナ,ルナ,RoyallSaver,5,Common_0109,1,5,0,0,1,0,0,1,0,0,0,0,0,0
6,CC_ユリアス,ユリアス,RoyallSaver,6,Common_0110,1,6,0,0,1,-7,-6,1.02,0,0,0,0,0,0
7,CC_イリス,イリス,RoyallSaver,7,Common_0111,1,7,0,0,1,-10,10,1,0,0,0,0,0,0
8,CC_ユアン,ユアン,RoyallSaver,8,Common_0112,1,8,0,0,1,0,2,1,0,0,0,0,0,0
101,CC_セルウィン,第一弾スキンリーダー,RoyallSaver,1,Common_0105,1,101,0,0,1,-24,6,1,0,0,0,0,0,0
102,CC_レイサム,第一弾スキンリーダー,RoyallSaver,2,Common_0106,1,102,0,0,1,55,40,0.95,0,0,0,0,0,0
103,CC_エラスムス,第一弾スキンリーダー,RoyallSaver,3,Common_0107,1,103,0,0,1,-20,-20,0.9,0,0,0,0,0,0
104,CC_フォルテ,第一弾スキンリーダー,RoyallSaver,4,Common_0108,1,104,0,0,1,-23,0,0.95,0,0,0,0,0,0
105,CC_モルディカイ,第一弾スキンリーダー,RoyallSaver,5,Common_0109,1,105,0,0,1,-22,-15,0.85,0,0,0,0,0,0
106,CC_ヴァンピィ,第一弾スキンリーダー,RoyallSaver,6,Common_0110,1,106,0,0,1,-50,4,0.98,0,0,0,0,0,0
107,CC_ガルラ,第一弾スキンリーダー,RoyallSaver,7,Common_0111,1,107,0,0,0,-16,10,0.8,0,0,0,0,0,0
201,CC_キャミィ,SF5,RoyallSaver,1,Common_0105,1,201,0,0,0,10,0,0.99,0,0,0,0,0,0
202,CC_春麗,SF5,RoyallSaver,2,Common_0106,1,202,0,0,0,10,0,1,0,0,0,0,0,0
203,CC_ジュリ,SF5,RoyallSaver,3,Common_0107,1,203,0,0,0,-5,0,1,0,0,0,0,0,0
204,CC_リュウ,SF5,RoyallSaver,4,Common_0108,1,204,0,0,0,12,20,0.93,0,0,0,0,0,0
205,CC_ベガ,SF5,RoyallSaver,5,Common_0109,1,205,0,0,0,10,18,0.93,0,0,0,0,0,0
206,CC_バルログ,SF5,RoyallSaver,6,Common_0110,1,206,0,0,0,10,15,0.93,0,0,0,0,0,0
207,CC_かりん,SF5,RoyallSaver,7,Common_0111,1,207,0,0,0,12,10,0.95,0,0,0,0,0,0
301,CC_アーチャー,Fate/stay night,RoyallSaver,1,Common_0105,1,301,0,0,0,-18,10,1,0,0,0,0,0,0
302,CC_ランサー,Fate/stay night,RoyallSaver,2,Common_0106,1,302,0,0,0,7,6,1,0,0,0,0,0,0
303,CC_遠坂凛,Fate/stay night,RoyallSaver,3,Common_0107,1,303,0,0,0,-20,0,1,0,0,0,0,0,0
304,CC_セイバー,Fate/stay night,RoyallSaver,4,Common_0108,1,304,0,0,0,-11,0,1,0,0,0,0,0,0
305,CC_セイバーオルタ,Fate/stay night,RoyallSaver,5,Common_0109,1,305,0,0,0,-14,8,1,0,0,0,0,0,0
306,CC_ライダー,Fate/stay night,RoyallSaver,6,Common_0110,1,306,0,0,0,10,4,1,0,0,0,0,0,0
307,CC_イリヤ,Fate/stay night,RoyallSaver,7,Common_0111,1,307,0,0,0,-15,-10,1,0,0,0,0,0,0
401,CC_アリア,リーダースキン付きカード,RoyallSaver,1,Common_0105,1,401,0,0,1,6,0,0.92,0,0,0,0,0,0
402,CC_アルベール,リーダースキン付きカード,RoyallSaver,2,Common_0106,1,402,0,0,1,35,15,0.9,0,0,0,0,0,0
403,CC_次元の魔女・ドロシー,リーダースキン付きカード,RoyallSaver,3,Common_0107,1,403,0,0,1,-12,0,1,0,0,0,0,0,0
404,CC_インペリアルドラグーン,リーダースキン付きカード,RoyallSaver,4,Common_0108,1,404,0,0,1,-8,14,0.88,0,0,0,0,0,0
405,CC_ケルベロス,リーダースキン付きカード,RoyallSaver,5,Common_0109,1,405,0,0,1,-10,30,0.77,0,0,0,0,0,0
406,CC_エクセラ,リーダースキン付きカード,RoyallSaver,6,Common_0110,1,406,0,0,1,32,0,0.95,0,0,0,0,0,0
407,CC_ラミナ,リーダースキン付きカード,RoyallSaver,7,Common_0111,1,407,0,0,1,45,0,1,0,0,0,0,0,0
408,CC_スピネ,リーダースキン付きカード,RoyallSaver,8,Common_0112,1,408,0,0,1,7,0,1,0,0,0,0,0,0
504,CC_龍化ローウェン,龍化ローウェン,RoyallSaver,4,Common_0108,1,504,0,0,1,-1,10,0.97,0,0,0,0,0,0
508,CC_ネクサス,ネクサス,RoyallSaver,8,Common_0112,1,508,0,0,1,12,-18,1.05,0,0,0,0,0,0
601,CC_ディートリッヒ,NetEase,RoyallSaver,1,Common_0105,1,601,0,0,1,20,0,0.95,0,0,0,0,0,0
603,CC_ファリン,NetEase,RoyallSaver,3,Common_0107,1,603,0,0,1,12,0,1,0,0,0,0,0,0
701,CC_コルワ,hayao,RoyallSaver,1,Common_0105,1,701,0,0,0,10,0,1,0,0,0,0,0,0
702,CC_パーシヴァル,hayao,RoyallSaver,2,Common_0106,1,702,0,0,0,0,20,0.9,0,0,0,0,0,0
703,CC_カリオストロ,hayao,RoyallSaver,3,Common_0107,1,703,0,0,0,-5,0,0.98,0,0,0,0,0,0
704,CC_ゾーイ,hayao,RoyallSaver,4,Common_0108,1,704,0,0,0,15,0,1,0,0,0,0,0,0
705,CC_フェリ,hayao,RoyallSaver,5,Common_0109,1,705,0,0,0,22,0,1,0,0,0,0,0,0
706,CC_ヴィーラ,hayao,RoyallSaver,6,Common_0110,1,706,0,0,0,10,0,1,0,0,0,0,0,0
707,CC_レ・フィーエ,hayao,RoyallSaver,7,Common_0111,1,707,0,0,0,12,-10,1,0,0,0,0,0,0
708,CC_シルヴァ,hayao,RoyallSaver,8,Common_0112,1,708,0,0,0,22,0,1,0,0,0,0,0,0
801,CC_カシオペア,リーダースキン付きカード,RoyallSaver,1,Common_0105,1,801,0,0,1,-8,25,0.88,0,0,0,0,0,0
802,CC_メリッサ,リーダースキン付きカード,RoyallSaver,2,Common_0106,1,802,0,0,1,0,0,1,0,0,0,0,0,0
803,CC_オズの大魔女,リーダースキン付きカード,RoyallSaver,3,Common_0107,1,803,0,0,1,0,0,1,0,0,0,0,0,0
804,CC_フィルレイン,リーダースキン付きカード,RoyallSaver,4,Common_0108,1,804,0,0,1,0,0,1,0,0,0,0,0,0
805,CC_アイシャ,リーダースキン付きカード,RoyallSaver,5,Common_0109,1,805,0,0,1,0,0,1,0,0,0,0,0,0
806,CC_メドゥーサ,リーダースキン付きカード,RoyallSaver,6,Common_0110,1,806,0,0,1,-15,0,0.9,0,0,0,0,0,0
807,CC_ブローディア,リーダースキン付きカード,RoyallSaver,7,Common_0111,1,807,0,0,1,12,5,1,0,0,0,0,0,0
808,CC_オーキス,リーダースキン付きカード,RoyallSaver,8,Common_0112,1,808,0,0,1,-7,5,1,0,0,0,0,0,0
901,CC_ギルガメッシュ,Fate/stay night,RoyallSaver,1,Common_0105,1,901,0,0,0,10,0,1,0,0,0,0,0,0
902,CC_真アサシン,Fate/stay night,RoyallSaver,2,Common_0106,1,902,0,0,0,40,5,1,0,0,0,0,0,0
903,CC_遠坂凛 制服ver.,Fate/stay night,RoyallSaver,3,Common_0107,1,903,0,0,0,10,0,1,0,0,0,0,0,0
904,CC_衛宮士郎,Fate/stay night,RoyallSaver,4,Common_0108,1,904,0,0,0,10,0,1,0,0,0,0,0,0
905,CC_間桐桜,Fate/stay night,RoyallSaver,5,Common_0109,1,905,0,0,0,7,0,1,0,0,0,0,0,0
906,CC_間桐慎二,Fate/stay night,RoyallSaver,6,Common_0110,1,906,0,0,0,13,-3,1,0,0,0,0,0,0
907,CC_バーサーカー,Fate/stay night,RoyallSaver,7,Common_0111,1,907,0,0,0,13,10,1,0,0,0,0,0,0
908,CC_言峰綺礼,Fate/stay night,RoyallSaver,8,Common_0112,1,908,0,0,0,17,0,1,0,0,0,0,0,0
1001,CC_コッコロ,プリコネ,RoyallSaver,1,Common_0105,1,1001,0,0,0,0,0,1,0,0,0,0,0,0
1002,CC_ペコリーヌ,プリコネ,RoyallSaver,2,Common_0106,1,1002,0,0,0,0,0,1,0,0,0,0,0,0
1003,CC_キャル,プリコネ,RoyallSaver,3,Common_0107,1,1003,0,0,0,0,0,1,0,0,0,0,0,0
