id,name,position_x,position_y,position_x2,position_y2,scale,scale2,front_effect_attach_character,back_effect_attach_character,spine_size,alpha_border,alpha_div,is_bg_card_shader
1211410310,MP_深緑の弓使い・アリサ,-27.5,235.5,-27.5,195,1.1,1.1,1,0,0.75,0.05,2,0
1212410310,MP_忠義の剣士・エリカ,-67,93,-67,46,1.1,1.1,1,0,0.6,0.3,2,0
1213410310,MP_究明の魔術師・イザベル,63,114,63,75,1.1,1.1,1,0,0.6,0.05,4,0
1214410310,MP_竜槍の戦士・ローウェン,24,86,24,34,1.45,1.45,1,0,0.75,0.05,2,0
1215410310,MP_友魂の少女・ルナ,41,135,41,104,1,1,1,0,0.83,0.65,4,0
1216410310,MP_終幕の吸血鬼・ユリアス,-52,158,-52,118,0.84,0.84,1,0,0.6,0.65,4,0
1217410310,MP_贖罪の司祭・イリス,28,115,28,71,1.1,1.1,1,0,0.6,0.05,2,0
1218410310,MP_次元の超克者・ユアン,16,58,16,38,1.1,1.1,1,0,0.5,0.05,4,0
721141010,MP_剪定の咎人・マガチヨ,0,322,0,322,1,1,1,0,0.85,0.05,2,0
721241010,MP_出航の咎人・バルバロス,0,322,0,322,1,1,1,0,0.85,0.05,2,0
721341010,MP_耽溺の咎人・セフィー,0,322,0,322,1,1,1,0,0.85,0.05,2,1
721441010,MP_金色の威信・リュミオール,0,322,0,322,1,1,1,0,0.85,0.05,2,1
721541020,MP_デッドソウルテイカー,0,322,0,322,1,1,1,0,0.85,0.05,2,1
721641010,MP_封印の凶狼・シグナ,0,322,0,322,1,1,1,0,0.85,0.05,2,1
721741010,MP_華麗なる淑女・エルヴィーラ,0,322,0,322,1,1,1,0,0.85,0.05,2,1
721841010,MP_弾哭の執行者・キルザエル,0,322,0,322,1,1,1,0,0.85,0.05,2,1
100000000,Default,-27.5,235.5,-27.5,195,1.1,1.1,1,0,0.75,0.05,2,0
