rank_id,rank_name,necessary_point,accumulate_point,lower_limit_point,base_add_bp,base_drop_bp,streak_bonus_pt,win_bonus,lose_bonus,max_win_bonus,max_lose_bonus,is_promotion_war,match_count,necessary_win,reset_lose,accumulate_master_point
1,RankName_001,100,100,0,100,0,50,0.01,0,50,0,0,0,0,0,0
2,RankName_002,100,200,0,100,0,50,0.01,0,50,0,0,0,0,0,0
3,RankName_003,500,700,0,100,0,50,0.01,0,50,0,0,0,0,0,0
4,RankName_004,500,1200,0,100,0,50,0.01,0,50,0,0,0,0,0,0
5,RankName_005,750,1950,1200,100,30,50,0.01,0.01,50,30,0,0,0,0,0
6,RankName_006,750,2700,1200,100,30,50,0.01,0.01,50,30,0,0,0,0,0
7,RankName_007,800,3500,1200,100,30,50,0.01,0.01,50,30,0,0,0,0,0
8,RankName_008,1000,4500,1200,100,30,50,0.01,0.01,50,30,0,0,0,0,0
9,RankName_009,1500,6000,4500,100,50,50,0.01,0.01,50,30,0,0,0,0,0
10,RankName_010,1500,7500,4500,100,50,50,0.01,0.01,50,30,0,0,0,0,0
11,RankName_011,1750,9250,4500,100,50,50,0.01,0.01,50,30,0,0,0,0,0
12,RankName_012,1750,11000,4500,100,50,50,0.01,0.01,50,30,1,4,2,3,0
13,RankName_013,2000,13000,11000,100,70,50,0.01,0.01,50,30,0,0,0,0,0
14,RankName_014,2000,15000,11000,100,70,50,0.01,0.01,50,30,0,0,0,0,0
15,RankName_015,2500,17500,11000,100,70,50,0.01,0.01,50,30,0,0,0,0,0
16,RankName_016,2500,20000,11000,100,70,50,0.01,0.01,50,30,1,3,2,2,0
17,RankName_017,3000,23000,20000,100,100,0,0.01,0.01,50,30,0,0,0,0,0
18,RankName_018,3000,26000,20000,100,100,0,0.01,0.01,50,30,0,0,0,0,0
19,RankName_019,3500,29500,20000,100,100,0,0.01,0.01,50,30,0,0,0,0,0
20,RankName_020,3500,33000,20000,100,100,0,0.01,0.01,50,30,1,3,2,2,0
21,RankName_021,4000,37000,33000,100,100,0,0.01,0.01,50,30,0,0,0,0,0
22,RankName_022,4000,41000,33000,100,100,0,0.01,0.01,50,30,0,0,0,0,0
23,RankName_023,4500,45500,33000,100,100,0,0.01,0.01,50,30,0,0,0,0,0
24,RankName_024,4500,50000,33000,100,100,0,0.01,0.01,50,30,1,3,2,2,0
25,RankName_025,0,0,50000,100,100,0,0.01,0.01,50,30,1,3,2,2,5000
26,RankName_G026,0,0,50000,100,100,0,0.01,0.01,50,30,0,0,0,0,15000
27,RankName_G027,0,0,50000,100,100,0,0.01,0.01,50,30,0,0,0,0,25000
28,RankName_G028,0,0,50000,100,100,0,0.01,0.01,50,30,0,0,0,0,35000
29,RankName_G029,0,0,50000,100,100,0,0.01,0.01,50,30,0,0,0,0,0
