sleeve_id,sleeve_name,path,category_id,is_premium,locale_jpn,locale_eng,locale_kor,locale_chs,locale_cht,locale_fre,locale_ita,locale_ger,locale_spa
3000011,SN_スタンダード1,sleeve_3000011,4000,0,1,1,1,1,1,1,1,1,1
3000021,SN_スタンダード2,sleeve_3000021,4000,0,1,1,1,1,1,1,1,1,1
3000022,SN_スタンダード3,sleeve_3000022,4000,0,1,1,1,1,1,1,1,1,1
3000023,SN_スタンダード4,sleeve_3000023,4000,0,1,1,1,1,1,1,1,1,1
3000024,SN_スタンダード5,sleeve_3000024,4000,0,1,1,1,1,1,1,1,1,1
3000025,SN_スタンダード6,sleeve_3000025,4000,0,1,1,1,1,1,1,1,1,1
3000026,SN_スタンダード7,sleeve_3000026,4000,0,1,1,1,1,1,1,1,1,1
3000027,SN_スタンダード8,sleeve_3000027,4000,0,1,1,1,1,1,1,1,1,1
3000028,SN_スタンダード9,sleeve_3000028,4000,0,1,1,1,1,1,1,1,1,1
3000031,SN_アリサスリーブ,sleeve_3000031,4000,0,1,1,1,1,1,1,1,1,1
3000051,SN_森の弓使い・アリサ,sleeve_3000051,4400,0,1,1,1,1,1,1,1,1,1
3000061,SN_深緑の射手・アリサ,sleeve_3000061,4400,0,1,1,1,1,1,1,1,1,1
3000081,SN_新リーダースキン_アリサ,sleeve_3000081,4100,0,1,1,1,1,1,1,1,1,1
3000032,SN_エリカスリーブ,sleeve_3000032,4000,0,1,1,1,1,1,1,1,1,1
3000052,SN_白刃の従者・エリカ,sleeve_3000052,4400,0,1,1,1,1,1,1,1,1,1
3000082,SN_新リーダースキン_エリカ,sleeve_3000082,4100,0,1,1,1,1,1,1,1,1,1
3000033,SN_イザベルスリーブ,sleeve_3000033,4000,0,1,1,1,1,1,1,1,1,1
3000053,SN_禁忌の魔術師・イザベル,sleeve_3000053,4400,0,1,1,1,1,1,1,1,1,1
3000083,SN_新リーダースキン_イザベル,sleeve_3000083,4100,0,1,1,1,1,1,1,1,1,1
3000034,SN_ローウェンスリーブ,sleeve_3000034,4000,0,1,1,1,1,1,1,1,1,1
3000054,SN_決意の龍槍・ローウェン,sleeve_3000054,4400,0,1,1,1,1,1,1,1,1,1
3000074,SN_黒龍の戦士・ローウェン,sleeve_3000074,4000,0,1,1,1,1,1,1,1,1,1
3000084,SN_新リーダースキン_ローウェン,sleeve_3000084,4100,0,1,1,1,1,1,1,1,1,1
3000035,SN_ルナスリーブ,sleeve_3000035,4000,0,1,1,1,1,1,1,1,1,1
3000055,SN_幼き死霊術師・ルナ,sleeve_3000055,4400,0,1,1,1,1,1,1,1,1,1
3000085,SN_新リーダースキン_ルナ,sleeve_3000085,4100,0,1,1,1,1,1,1,1,1,1
3000036,SN_ユリアススリーブ,sleeve_3000036,4000,0,1,1,1,1,1,1,1,1,1
